question_id,snapshot_sha256
PL001_V01_Q01,9c906917751b3f8a55d3c6012508f9eddb58996b5b453edbe2acf93cafb0c1cc
PL001_EnvQuality_Q01,e8ef7aade6384b0b77c79db000ae407fc89f761c57c76c5d86cfa79023e1c101
PL001_Emission_固体,6e4c8b0224e50da13a2fabfd0a8a6925b81b08383ef100271ae722ce33f7d490
PL002_V01_Q01,dada7f9b18f1ddbb65ca3a338150bc8e9b69b3144e5c03ef9d517b42065f9b4a
PL002_EnvQuality_Q01,c24c4cfee5ca3763e5517de5fbf3d2dd33cd504f06db1e7bd903b6cf6b5f657c
PL002_Emission_大气,a648b20455fc8d18005faa78c029a00a801a5015bb3d07b5f5f2937436895525
PL002_Emission_噪声,95b25888c157ba78803d27c01796f4b2f5602fae731aba4eb46c19c4fd50ea4e
PL002_Emission_固体,7ae1867a5fc17ba5151ed66ba76fef2cfbf00eb0c87d43430ab1a3e3f6f4a447
PL003_V01_Q01,8477fa81d1709a0b4d4f416ac8160930426ca300853235d7f696154fa847d2a6
PL003_V01_Q03,55555750573787fa4dee528e8b7aeed0d33091495c46ac903266bccedf90f8c4
PL003_Emission_水污,2f9f9ecebdb1cf49b3b34cf2d6be9f117bb68445845ea629c6ef9976de65465c
PL003_Emission_噪声,4e41535d9a1eb29e0bfb7f8dd323034790c7f480c8c4eec1a842daeab0c29e8d
PL003_Emission_固体,191c50a3778b30a2069234ed89d6935c37b229b8ae35914853c7f5f8f793d7d4
PL004_V01_Q01,acf09cc8111232adfcc44c29659c3e51c14154dbf015f02991639f9bba7c41f9
PL004_Emission_水污,1d3cf12eb36ffd518541e688b8412ed3ccf7580f9b3dcae5a276b2138944d022
PL004_Emission_噪声,c6d944b5c18202c888b5222647d6c9020859404a4ce5466b7340b9bab1aa2e88
PL004_Emission_固体,4007b384734e52831fdc9ec71441e5b0e55a77c58612d823962412672575bb00
PL005_Emission_水污,ffbbe58d60bbb9919cb989be273d68edca0d49dac1702241a8f0ad0af985015c
PL005_Emission_噪声,f8c3b81569dd9e6879d2a683e39214bb9fda796ad57dd7fc309182c3e5914f22
PL005_Emission_固体,8447e22c75d25e7d5f9c76294a467bf3f1446096e1b2cc873e003bf9755a07af
PL006_EnvQuality_Q01,26fc66257defe9f95452a2cc9abb407162cc5ebc616837b0a2400e64a643e78b
